,country,description,id_,keywords,is_shoppable,language,name,slug,video_url,is_licensed_video,is_community,thumbnail_url,inspired_by,linked_recipes,tags,cook_time,prep_time,total_time,ratings_negative,ratings_positive,score,protein,fat,calories,sugar,carbohydrates,fiber
0,US,"Nothing says Sunday morning like a warm, gooey batch of homemade cinnamon rolls. Finish them with a generous topping of frosting, and be prepared to lick brown sugar off your fingers for the rest of the afternoon.",868,"bake sale, breakfast, cinnamon buns, cinnamon rolls, dessert, frosting, homemade, recipe, tasty, tasty_vegetarian, today food, video, yeast",True,eng,Homemade Cinnamon Rolls,homemade-cinnamon-rolls,https://vid.tasty.co/output/25812/mp4_640x640/1488912074,False,False,https://img.buzzfeed.com/video-api-prod/assets/9d589367531e4c12a4937e30e521c865/fbthumb.jpg,,,"7336057,6854262,5993378,5831534,1280501,1247793,1247784,1280512,1280503,1280507,1247794,1280506,1280510,65851,64488,64492,64483,64503,64484,65850,65857,64444,65846",30,30,151,475,17340,98.0,7.0,21.0,479.0,24.0,63.0,1.0
1,US,,6124,"1000 whisk omelette, 3 ingredient mac & cheese, 3 ingredient recipes, 3-ingredient coffee, 400 whisk coffee, creme brulee, dalgona coffee, day in the life, fluffy omelette, how to make 3 ingredient recipes, jiggly omelette, korean coffee, tasty 3 ingredient recipes, tasty alvin, tasty vlog, teriyaki chicken, whipped coffee",True,eng,Whipped Coffee,whipped-coffee,https://vid.tasty.co/output/163616/landscape_480/1585352571,False,False,https://img.buzzfeed.com/video-api-prod/assets/e88c307523d249688034912c640f6630/whipped_coffee.jpg,,,"64487,64470,8091916,6718867,64483,64471,64465,65844",0,15,15,777,8483,92.0,0.0,0.0,69.0,18.0,18.0,0.0
2,US,,3094,"dome pancakes, easy pancakes, japanese fluffy pancakes, japanese pancakes, no flip pancakes, pancake perfection, pancakes, rice cooker pancakes, round pancakes, smooth pancakes, tasty, tasty_vegetarian",True,eng,Fluffy Pancakes,fluffy-perfect-pancakes,https://vid.tasty.co/output/65088/landscape_480/1512083102,False,False,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/119674.jpg,,,"64469,8091748,8091747,8091917,5831534,1280510,64484,64488,65410,65848,1247768,64483,64444,1280513,1280504,64471,64498,1280501,64454,1280507,1247793,1280503,64462,1280508",20,10,35,1099,5009,83.0,36.0,50.0,1102.0,12.0,123.0,3.0
3,US,,4693,"tasty, tasty 101; cinnamon rolls; holidays, tasty_vegetarian",True,eng,How to Make Cinnamon Rolls,tasty-101-cinnamon-rolls,https://vid.tasty.co/output/121022/landscape_480/1545418173,False,False,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/c590df339d91402ab44486048fa17119/Tasty101_CinnamonRolls_Gwen_Final_1.jpg,,,"64469,5831534,64483,64484,65843,1280506,1247788,1280501,1247768,1280500,1247785,1247784,1280503,65850,65846,1247793,1247775,64473,1280510,1280507,64492,1280508,1280512,65857,1247794",30,25,190,207,6649,97.0,8.0,25.0,562.0,28.0,74.0,1.0
4,ZZ,,1655,,True,eng,Healthy Banana Pancakes,healthy-banana-pancakes,https://vid.tasty.co/output/27116/mp4_640x640/1490138212,False,False,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/5f6e823f41bb4779829a1486cbbbfa12/BFV18275_HealthyPancakes4Ways_FB1080SQ.jpg,,,"64469,64463,64470,8091916,1247785,1247788,1247787,1280510,1280507,1280508,64483,65848,65855,64484,65859,64471,64466,64488,64444,65840",0,0,0,591,3853,87.0,7.0,4.0,184.0,9.0,30.0,4.0
5,US,,4148,"best pancakes, breakfast, brunch foods, butter, buttermilk pancakes, buttery pancakes, buzzfeed, cooking, cooking pancakes, delicious, desserts, diner foods, fluffiest pancakes, fluffy pancakes, food, hot cakes, how to make pancakes, pancake recipe, pancake tutorial, pancakes, syrup, tasty, tasty 101, tasty pancakes, tasty_vegetarian",True,eng,How To Make The Fluffiest Pancakes,tasty-101-buttermilk-pancakes,https://vid.tasty.co/output/101218/landscape_480/1530909210,False,False,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/167797.jpg,"{'host': 'food52.com', 'url': 'https://food52.com/recipes/40532-the-kitchn-s-lofty-buttermilk-pancakes'}",,"64469,6718864,1247785,64488,1247788,65859,64484,64483,1280510,1247793,64444,1280507,64462,1280506,64471,1280508,65848,65840",0,0,0,296,4199,94.0,7.0,15.0,303.0,6.0,33.0,0.0
6,US,,4028,,True,eng,Buttermilk Pancakes,buttermilk-pancakes,https://vid.tasty.co/output/97925/landscape_480/1528493552,False,False,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/51a9c5b156c84977ae50004b5ef622b2/finalFB.jpg,,,"64469,64484,65859,1247793,1280510,1280506,1247788,64488,1280508,1280507,64462,65848,64483",0,0,0,188,3270,95.0,15.0,13.0,449.0,10.0,64.0,1.0
7,US,,3034,,True,eng,3-Ingredient Banana Oat Smoothie,3-ingredient-banana-oat-smoothie,https://vid.tasty.co/output/61659/mp4_640x640/1510600164,False,False,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/5eeb78d0e7af4e59867fa6c19ba01825/BFV32433_3-IngredientBreakfasts-FB1080.jpg,,,"64470,1280506,64444,64483,1280507,64487,64471,64466,64488,65838",0,0,0,239,2829,93.0,18.0,9.0,528.0,31.0,96.0,11.0
8,US,,3404,"tasty, tasty_vegetarian",True,eng,The Fluffiest Vegan Pancakes,the-fluffiest-vegan-pancakes,https://vid.tasty.co/output/74910/landscape_480/1516922425,False,False,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/132842.jpg,"{'host': 'geniuskitchen.com', 'url': 'http://www.geniuskitchen.com/recipe/5-minute-vegan-pancakes-132263'}",,"64469,8091919,8091918,8091916,64484,65850,1247787,1280510,1280506,1280507,64471,64483,1247793,64488,1247788,65851,65859,65848",0,0,0,125,3274,97.0,3.0,1.0,156.0,4.0,32.0,1.0
9,US,,5533,,True,eng,Peanut Butter Energy Bites,peanut-butter-energy-bites,https://vid.tasty.co/output/142872/landscape_480/1566511062,False,False,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/230779.jpg,,,"64469,64470,8091918,8091916,64467,8030032,6543464,1280507,65852,64491,64483,1247785,1247788,1280508,64471,64488,64466,1247784,1280510,1280506",0,0,0,136,2774,96.0,5.0,11.0,169.0,3.0,13.0,2.0
